Date:;2021-11-02 15:21:23
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
0.000;0;0
9.200;-10;0
18.400;20;0
27.600;-10;0
36.800;43;0
46.000;35;0
55.200;-69;0
64.400;-39;0
73.600;-2;0
82.800;-10;0
92.000;-25;0
101.200;-25;0
110.400;5;0
119.600;-25;0
128.800;20;0
138.000;-2;0
147.200;5;0
156.400;-17;0
165.600;-62;0
174.800;73;0
184.000;-17;0
193.200;28;0
202.400;-17;0
211.600;43;0
220.800;5;0
230.000;20;0
239.200;50;0
248.400;-39;0
257.600;103;0
266.800;-32;0
276.000;-69;0
285.200;13;0
294.400;-32;0
303.600;28;0
312.800;58;0
322.000;-17;0
331.200;5;0
340.400;-10;0
349.600;43;0
358.800;50;0
368.000;58;0
377.200;-10;0
386.400;-39;0
395.600;-69;0
404.800;-40;0
414.000;-17;0
423.200;58;0
432.400;28;0
441.600;13;0
450.800;-10;0
460.000;65;0
469.200;-32;0
478.400;20;0
487.600;-10;0
496.800;-24;0
506.000;5;0
515.200;13;0
524.400;-77;0
533.600;-47;0
542.800;13;0
552.000;-10;0
561.200;20;0
570.400;-39;0
579.600;-2;0
588.800;-10;0
598.000;80;0
607.200;-2;0
616.400;28;0
625.600;28;0
634.800;-17;0
644.000;-10;0
653.200;-25;0
662.400;28;0
671.600;-10;0
680.800;-10;0
690.000;-2;0
699.200;20;0
708.400;117;0
717.600;-17;0
726.800;-84;0
736.000;-17;0
745.200;28;0
754.400;-25;0
763.600;-2;0
772.800;-47;0
782.000;-39;0
791.200;73;0
800.400;80;0
809.600;-17;0
818.800;-25;0
828.000;-17;0
837.200;110;0
846.400;5;0
855.600;13;0
864.800;20;0
874.000;50;0
883.200;-17;0
892.400;-47;0
901.600;-10;0
910.800;-32;0
920.000;58;0
929.200;-25;0
938.400;50;0
947.600;-10;0
956.800;43;0
966.000;-55;0
975.200;6;0
984.400;20;0
993.600;-32;0
1002.800;931;990
1012.000;943;990
1021.200;1059;990
1030.400;1009;990
1039.600;983;990
1048.800;999;990
1058.000;999;990
1067.200;953;990
1076.400;1041;990
1085.600;1004;990
1094.800;999;990
1104.000;938;990
1113.200;957;990
1122.400;1030;990
1131.600;1050;990
1140.800;940;990
1150.000;1078;990
1159.200;940;990
1168.400;955;990
1177.600;959;990
1186.800;964;990
1196.000;994;990
1205.200;983;990
1214.400;973;990
1223.600;1024;990
1232.800;1008;990
1242.000;1006;990
1251.200;950;990
1260.400;992;990
1269.600;966;990
1278.800;981;990
1288.000;1025;990
1297.200;967;990
1306.400;1021;990
1315.600;910;990
1324.800;1082;990
1334.000;985;990
1343.200;988;990
1352.400;974;990
1361.600;969;990
1370.800;926;990
1380.000;964;990
1389.200;958;990
1398.400;965;990
1407.600;990;990
1416.800;1030;990
1426.000;915;990
1435.200;1046;990
1444.400;1058;990
1453.600;970;990
1462.800;1043;990
1472.000;995;990
1481.200;983;990
1490.400;987;990
1499.600;911;990
1508.800;984;990
1518.000;946;990
1527.200;1023;990
1536.400;1018;990
1545.600;986;990
1554.800;1021;990
1564.000;1006;990
1573.200;1043;990
1582.400;977;990
1591.600;891;990
1600.800;1002;990
1610.000;985;990
1619.200;1018;990
1628.400;1037;990
1637.600;982;990
1646.800;982;990
1656.000;868;990
1665.200;946;990
1674.400;1032;990
1683.600;940;990
1692.800;1007;990
1702.000;1033;990
1711.200;1067;990
1720.400;1117;990
1729.600;913;990
1738.800;966;990
1748.000;969;990
1757.200;1042;990
1766.400;822;990
1775.600;1050;990
1784.800;918;990
1794.000;932;990
1803.200;992;990
1812.400;981;990
1821.600;918;990
1830.800;925;990
1840.000;943;990
1849.200;954;990
1858.400;926;990
1867.600;970;990
1876.800;1035;990
1886.000;1027;990
1895.200;957;990
1904.400;1075;990
1913.600;896;990
1922.800;1043;990
1932.000;1007;990
1941.200;976;990
1950.400;1060;990
1959.600;1086;990
1968.800;1165;990
1978.000;1069;990
1987.200;1032;990
1996.400;1093;990
2005.600;-1005;-990
2014.800;-1073;-990
2024.000;-1102;-990
2033.200;-999;-990
2042.400;-953;-990
2051.600;-925;-990
2060.800;-899;-990
2070.000;-954;-990
2079.200;-1037;-990
2088.400;-1066;-990
2097.600;-998;-990
2106.800;-979;-990
2116.000;-966;-990
2125.200;-849;-990
2134.400;-938;-990
2143.600;-1018;-990
2152.800;-965;-990
2162.000;-1054;-990
2171.200;-941;-990
2180.400;-1000;-990
2189.600;-1001;-990
2198.800;-989;-990
2208.000;-1026;-990
2217.200;-974;-990
2226.400;-1001;-990
2235.600;-1045;-990
2244.800;-954;-990
2254.000;-1005;-990
2263.200;-979;-990
2272.400;-958;-990
2281.600;-974;-990
2290.800;-1012;-990
2300.000;-954;-990
2309.200;-1058;-990
2318.400;-1020;-990
2327.600;-957;-990
2336.800;-1021;-990
2346.000;-973;-990
2355.200;-1001;-990
2364.400;-973;-990
2373.600;-988;-990
2382.800;-967;-990
2392.000;-951;-990
2401.200;-990;-990
2410.400;-919;-990
2419.600;-954;-990
2428.800;-980;-990
2438.000;-966;-990
2447.200;-1013;-990
2456.400;-1003;-990
2465.600;-895;-990
2474.800;-977;-990
2484.000;-931;-990
2493.200;-933;-990
2502.400;-1000;-990
2511.600;-951;-990
2520.800;-921;-990
2530.000;-1028;-990
2539.200;-983;-990
2548.400;-977;-990
2557.600;-929;-990
2566.800;-1000;-990
2576.000;-954;-990
2585.200;-1057;-990
2594.400;-980;-990
2603.600;-1027;-990
2612.800;-843;-990
2622.000;-968;-990
2631.200;-1056;-990
2640.400;-982;-990
2649.600;-1064;-990
2658.800;-962;-990
2668.000;-1000;-990
2677.200;-965;-990
2686.400;-950;-990
2695.600;-989;-990
2704.800;-907;-990
2714.000;-1009;-990
2723.200;-983;-990
2732.400;-1041;-990
2741.600;-1055;-990
2750.800;-955;-990
2760.000;-997;-990
2769.200;-991;-990
2778.400;-963;-990
2787.600;-973;-990
2796.800;-943;-990
2806.000;-964;-990
2815.200;-1042;-990
2824.400;-997;-990
2833.600;-1068;-990
2842.800;-981;-990
2852.000;-919;-990
2861.200;-1087;-990
2870.400;-1041;-990
2879.600;-1032;-990
2888.800;-962;-990
2898.000;-1047;-990
2907.200;-1113;-990
2916.400;-976;-990
2925.600;-956;-990
2934.800;-968;-990
2944.000;-1024;-990
2953.200;-944;-990
2962.400;-1017;-990
2971.600;-983;-990
2980.800;-1043;-990
2990.000;-1006;-990
2999.200;-1004;-990
3008.400;-37;0
3017.600;5;0
3026.800;46;0
3036.000;-40;0
3045.200;72;0
3054.400;24;0
3063.600;70;0
3072.800;17;0
3082.000;-33;0
3091.200;-121;0
3100.400;35;0
3109.600;-39;0
3118.800;0;0
3128.000;0;0
3137.200;17;0
3146.400;-35;0
3155.600;-48;0
3164.800;60;0
3174.000;-24;0
3183.200;-33;0
3192.400;-11;0
3201.600;13;0
3210.800;-32;0
3220.000;-27;0
3229.200;-24;0
3238.400;8;0
3247.600;-10;0
3256.800;-33;0
3266.000;47;0
3275.200;-14;0
3284.400;-70;0
3293.600;63;0
3302.800;74;0
3312.000;-51;0
3321.200;-30;0
3330.400;16;0
3339.600;6;0
3348.800;6;0
3358.000;-6;0
3367.200;-44;0
3376.400;-22;0
3385.600;7;0
3394.800;49;0
3404.000;-26;0
3413.200;-13;0
3422.400;-24;0
3431.600;87;0
3440.800;31;0
3450.000;-31;0
3459.200;-4;0
3468.400;-23;0
3477.600;14;0
3486.800;10;0
3496.000;-81;0
3505.200;9;0
3514.400;18;0
3523.600;-47;0
3532.800;42;0
3542.000;-18;0
3551.200;-46;0
3560.400;90;0
3569.600;21;0
3578.800;-1;0
3588.000;-46;0
3597.200;-80;0
3606.400;29;0
3615.600;18;0
3624.800;-15;0
3634.000;-14;0
3643.200;-43;0
3652.400;-14;0
3661.600;-4;0
3670.800;-114;0
3680.000;94;0
3689.200;-15;0
3698.400;-26;0
3707.600;-43;0
3716.800;-52;0
3726.000;3;0
3735.200;-32;0
3744.400;-1;0
3753.600;-69;0
3762.800;-48;0
3772.000;31;0
3781.200;36;0
3790.400;-30;0
3799.600;21;0
3808.800;-12;0
3818.000;0;0
3827.200;27;0
3836.400;-32;0
3845.600;9;0
3854.800;-40;0
3864.000;32;0
3873.200;-11;0
3882.400;-27;0
3891.600;-19;0
3900.800;-6;0
3910.000;38;0
3919.200;10;0
3928.400;17;0
3937.600;-5;0
3946.800;-13;0
3956.000;-5;0
3965.200;17;0
3974.400;62;0
3983.600;2;0
3992.800;10;0
4002.000;-5;0
4011.200;17;0
4020.400;-35;0
4029.600;-5;0
4038.800;-12;0
4048.000;-35;0
4057.200;-5;0
4066.400;32;0
4075.600;10;0
4084.800;-20;0
4094.000;-5;0
4103.200;3;0
4112.400;-35;0
4121.600;-20;0
4130.800;32;0
4140.000;40;0
4149.200;32;0
4158.400;39;0
4167.600;2;0
4176.800;-12;0
4186.000;3;0
4195.200;18;0
4204.400;-5;0
4213.600;3;0
4222.800;-5;0
4232.000;-6;0
4241.200;24;0
4250.400;3;0
4259.600;-35;0
4268.800;-13;0
4278.000;-5;0
4287.200;39;0
4296.400;17;0
4305.600;2;0
4314.800;-13;0
4324.000;-13;0
4333.200;25;0
4342.400;18;0
4351.600;17;0
4360.800;10;0
4370.000;10;0
4379.200;-12;0
4388.400;17;0
